fold,split,bearing_id,label,class_name
0,train,K003,0,healthy
0,train,K004,0,healthy
0,train,K005,0,healthy
0,train,KA16,1,real_outer_ring
0,train,KA22,1,real_outer_ring
0,train,KA30,1,real_outer_ring
0,train,KI16,2,real_inner_ring
0,train,KI18,2,real_inner_ring
0,train,KI21,2,real_inner_ring
0,validation,K002,0,healthy
0,validation,KA15,1,real_outer_ring
0,validation,KI14,2,real_inner_ring
0,test,K001,0,healthy
0,test,KA04,1,real_outer_ring
0,test,KI04,2,real_inner_ring
1,train,K001,0,healthy
1,train,K004,0,healthy
1,train,K005,0,healthy
1,train,KA04,1,real_outer_ring
1,train,KA22,1,real_outer_ring
1,train,KA30,1,real_outer_ring
1,train,KI04,2,real_inner_ring
1,train,KI18,2,real_inner_ring
1,train,KI21,2,real_inner_ring
1,validation,K003,0,healthy
1,validation,KA16,1,real_outer_ring
1,validation,KI16,2,real_inner_ring
1,test,K002,0,healthy
1,test,KA15,1,real_outer_ring
1,test,KI14,2,real_inner_ring
2,train,K001,0,healthy
2,train,K002,0,healthy
2,train,K005,0,healthy
2,train,KA04,1,real_outer_ring
2,train,KA15,1,real_outer_ring
2,train,KA30,1,real_outer_ring
2,train,KI04,2,real_inner_ring
2,train,KI14,2,real_inner_ring
2,train,KI21,2,real_inner_ring
2,validation,K004,0,healthy
2,validation,KA22,1,real_outer_ring
2,validation,KI18,2,real_inner_ring
2,test,K003,0,healthy
2,test,KA16,1,real_outer_ring
2,test,KI16,2,real_inner_ring
3,train,K001,0,healthy
3,train,K002,0,healthy
3,train,K003,0,healthy
3,train,KA04,1,real_outer_ring
3,train,KA15,1,real_outer_ring
3,train,KA16,1,real_outer_ring
3,train,KI04,2,real_inner_ring
3,train,KI14,2,real_inner_ring
3,train,KI16,2,real_inner_ring
3,validation,K005,0,healthy
3,validation,KA30,1,real_outer_ring
3,validation,KI21,2,real_inner_ring
3,test,K004,0,healthy
3,test,KA22,1,real_outer_ring
3,test,KI18,2,real_inner_ring
4,train,K002,0,healthy
4,train,K003,0,healthy
4,train,K004,0,healthy
4,train,KA15,1,real_outer_ring
4,train,KA16,1,real_outer_ring
4,train,KA22,1,real_outer_ring
4,train,KI14,2,real_inner_ring
4,train,KI16,2,real_inner_ring
4,train,KI18,2,real_inner_ring
4,validation,K001,0,healthy
4,validation,KA04,1,real_outer_ring
4,validation,KI04,2,real_inner_ring
4,test,K005,0,healthy
4,test,KA30,1,real_outer_ring
4,test,KI21,2,real_inner_ring
