dataset,outer_id,fraction,fraction_numeric,E_identifiable,sampling_unit,independent_train_groups,normal_groups,fault_groups,early_fault_groups,r_rank,r_rank_q05,r_rank_q25,r_rank_q50,r_rank_q75,r_rank_q95,r_mask,r_mask_q05,r_mask_q25,r_mask_q50,r_mask_q75,r_mask_q95,R_v2,R_q05,R_q25,R_q50,R_q75,R_q95,bootstrap_repeats,bootstrap_seed,reference_parity_pass,reference_map_hash,reference_mask_hash,source_hashes,runtime_seconds
3W,31001,f100,1.0,True,instance_id,248,234,14,14,0.8170436951318557,0.6587008479518013,0.738669351155244,0.8170436951318557,0.8857006387809838,0.9497042020961238,0.6360282729295148,0.403977533720299,0.5406360424028268,0.6360282729295148,0.7165354330708661,0.8208755489470588,0.7265359840306853,0.5491023606393077,0.6672518333023179,0.716210121010133,0.7807009774577576,0.8706164071979182,64,22042,True,59c7c3a1a79202a6deb3ba8f8e705b8ac66f4cb9d2eb4e7ef36d45a03c24195c,88eb049b040a395bda8801125c000293929e2f55b76abe84928f17f2ccdc9133,"{""audit"": ""3fa41ae50ca5b6f7592dfe02fd8e8c6158ee531f0963f1b51d41c3548b4a539a"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""dee6ae4d3c5e9049b49243b98eb5d8a870a108994a089362408dffeb6cf2a38b"", ""fraction_manifest"": ""edff419815b75ab8d499e9a4af7140e254db0631e411538d1d1a221fbddaafe7"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",6.655
3W,31002,f100,1.0,True,instance_id,440,411,29,29,0.8316043048127295,0.5959062164095263,0.7531797744073294,0.8316043048127295,0.8776420121348438,0.9236121836357222,0.6179499889843578,0.3443010752688172,0.4969990114390623,0.6179499889843578,0.689922480620155,0.8373532475327929,0.7247771468985437,0.5163716802923455,0.647505890678479,0.7103787352270456,0.7855610616828881,0.8563948128149472,64,22042,True,ad02e095dc859a6e50679a5c4ad06592d1f29bf215e4221e20013bf28ae5ebba,d58021c19d5a481d6a5c9c215ebb4c1d635071667892f56e6c92fa6dba2ef868,"{""audit"": ""c06bae01547b581b47cb7695c1a4d2e822baabf41bd1b5df59a00130d48a3825"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""60dca81d85e01357635d7056195789b06fdc319282a434fbcc00a834a07b9dc0"", ""fraction_manifest"": ""3a2eecd25444c2dc020c13e87314f707d828a8b1aba5db7da177527a1c35c7b1"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",10.87
3W,31003,f100,1.0,True,instance_id,601,576,25,25,0.8643178438631116,0.7181179774266409,0.8194759974780486,0.8643178438631116,0.900580531650906,0.9556016780860178,0.5516210739614995,0.3767042211206249,0.47297297297297297,0.5516210739614995,0.665716124126232,0.7847061175529787,0.7079694589123056,0.5866181476163747,0.6460643863625422,0.707252501812327,0.7810344998578223,0.8652376718960504,64,22042,True,f0b450b5d34af61d6222af7052388d5a07492d758e29326cba3d98d5f9b3e0f7,52eb5082d324dfb4d016e388296ef1a020525498c9572eac3b5908f6137b2748,"{""audit"": ""a70d2444905db6d3443a6e517469b815912565332b282d78bf7be99c65121ad1"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""4a3ccc6021f50e74c85fab1aceefd1738e99f59844cc648568a52ca430eda048"", ""fraction_manifest"": ""1696cc905a2699954b89158391f3097a3db079b42c81091ee62caee05a14647b"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",13.926
3W,31001,f025,0.25,True,instance_id,68,58,10,10,0.857160808712621,0.6677034051896127,0.796931439596112,0.857160808712621,0.9127259250267621,0.9710220537634929,0.4880546075085324,0.346932750555939,0.4236763109152456,0.4880546075085324,0.6148148148148148,0.9715176715176714,0.6726077081105767,0.5098879920075939,0.6186460510557362,0.6726140666727409,0.7705047470356452,0.974328104884525,64,22042,True,e23cd809baab1c25352ed8c090a0bf9e5b1dcc4801718020edf04e96de6b1c18,a6d75662c28f3d560e992b4576013603a41448185e6eb68018a24366da10c0b9,"{""audit"": ""040fc1e273e0bf5250366c3dc01d624e14965a4a6227c38433f5c694c144202d"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""b4df2cb7ff773a2204a8eeeaa27b482a0091a131ecef92f9c8533c11b76f4d37"", ""fraction_manifest"": ""edff419815b75ab8d499e9a4af7140e254db0631e411538d1d1a221fbddaafe7"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",1.93
3W,31002,f025,0.25,True,instance_id,115,103,12,12,0.8294003856346619,0.5555054086893201,0.7852263859001289,0.8294003856346619,0.8823697306902643,0.9528294905946629,0.6029411764705882,0.34215954415954414,0.428340297867781,0.6029411764705882,0.7233201581027668,0.8838043478260865,0.716170781052625,0.4413695759185722,0.6240036048192614,0.706544252050161,0.793668903872642,0.8764375376925503,64,22042,True,cf037a8b5937c127833ef12dee249d06a8c73c58bd3aa9d8b7090dc4e605f17c,5c1da75a16a8f57ba05ffbd909ee1f93aff2f6e3e55f32871dc665f096408773,"{""audit"": ""4d4f97b986e058323262dbe7567d7785a51cf5f7092f8f3896d4864db5f65567"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""c5975480d20962acc085ae47054b08ddca1c80269756ee019fe188997f3e0308"", ""fraction_manifest"": ""3a2eecd25444c2dc020c13e87314f707d828a8b1aba5db7da177527a1c35c7b1"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",2.822
3W,31003,f025,0.25,True,instance_id,156,146,10,10,0.8886428840677818,0.7768776313319093,0.840535706578797,0.8886428840677818,0.945510788810939,0.979925006718275,0.765211119853134,0.5393381796153264,0.6595899811288386,0.765211119853134,0.8187108798087066,0.920704845814978,0.8269270019604579,0.6737344467073325,0.7449009632484176,0.8208310122506901,0.8874408467731587,0.9483262961194288,64,22042,True,4f965112764974c777294d9d9951f0687fc5ea43729ed88115286c9b5effb8c5,55cdf6a65bc6f364eb18e75b572307e8ce6eb6ab701c324b867e609439023b42,"{""audit"": ""0d4dd6b37a90dbad4ce3c7a7106a10f2651ffedea19c1b0fd23b2e7a66843046"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""67ecaf49628b082c1f2c8418ec9b5869a4591fbe737f0784f63e662ef1ab674f"", ""fraction_manifest"": ""1696cc905a2699954b89158391f3097a3db079b42c81091ee62caee05a14647b"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",3.718
3W,31001,f010,0.1,True,instance_id,29,23,6,6,0.8485899224805844,0.6158249857987206,0.7700273360792858,0.8485899224805844,0.9312269435060608,0.9812444646903473,0.623841757753981,0.22786837881219904,0.4521262458471761,0.623841757753981,0.7301587301587301,0.9352168379833578,0.7362158401172827,0.42935999936601954,0.6090594638901045,0.7375144808594636,0.8182419932528675,0.951983507340959,64,22042,True,b9dee5aebc335db371b77cf2d0437f3ac485957b921ae76c57f68bc26f804ac6,8bc770bb1b766f07bcac22c27b563630d09b85f96283d53bdaff19364a94e054,"{""audit"": ""a0c1aa773e8749ab111ab73fa2001050428cc595c9691b5c2f62edaa66913632"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""a8e2e813ae9adf771a2de67cc1209658140da808251da06020f8d1e5f36e8710"", ""fraction_manifest"": ""edff419815b75ab8d499e9a4af7140e254db0631e411538d1d1a221fbddaafe7"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",1.081
3W,31002,f010,0.1,True,instance_id,48,41,7,7,0.7707973809349905,0.2982259742556527,0.6545959149072048,0.7707973809349905,0.8436027153427661,0.9439179925572643,0.5379236550042303,0.14827903091060984,0.379746835443038,0.5379236550042303,0.7370517928286853,0.9193101883367366,0.6543605179696104,0.23878237042477352,0.5193070831309146,0.649131189991122,0.7561920389222266,0.9158983941031141,64,22042,True,1feaed693d4f2ccb4a37a2e1bf6742dd418a38134e4a1d6bf976652ccd0e78c5,81340e0c6b01d03bf8ef075131a9ddc871633fbec6d6f9538f130832566b3d30,"{""audit"": ""f49dd3f04144e23837b8f055e957f1636bc6c6ab5b432d68907a985368183f74"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""0927c318116bb9ab8c1696ea7b4afee8c3a00621b47eb44ac6f8b92c4b3ef6a4"", ""fraction_manifest"": ""3a2eecd25444c2dc020c13e87314f707d828a8b1aba5db7da177527a1c35c7b1"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",1.488
3W,31003,f010,0.1,True,instance_id,65,58,7,7,0.8274011608013532,0.6921261476891345,0.7508482667950458,0.8274011608013532,0.9083470699813012,0.9483955492208227,0.7267394441307484,0.35466999477564287,0.5460992907801419,0.7267394441307484,0.744,0.9626429119702662,0.7770703024660508,0.5581513983238773,0.6914187742819462,0.728781818129729,0.8271351584186128,0.9516145775554823,64,22042,True,c3ae4a19a7ac0e52e4151427e3ff66be7ae3d32ef5af961020d8804e6a07adf9,dbda6efe5af6989afc9e130ca068b4f34b138978606ae680862931d59e99a074,"{""audit"": ""9f9b20e656e366b736e275302cd5cca08f813901008b8d0a8b50a4828ee4b896"", ""base_config"": ""aa729f60b99162b7c581f23f4bd3273b3ae923733f57aa4203b4a0ba731449f2"", ""criticality"": ""e17b50ef1e8cb6046f7e0670368fdb6c52074a215b141d8c4a915ec7fc419c41"", ""fraction_manifest"": ""1696cc905a2699954b89158391f3097a3db079b42c81091ee62caee05a14647b"", ""grouped_config"": ""96eb8dd54576554dba87c1292a04cc4f0a3427bee0a76301d33711dea5156899""}",1.943
TEP,32001,f100,1.0,True,run_uid,248,151,120,120,0.9733956556025524,0.9623776757893701,0.9701189547786251,0.9733956556025524,0.9775647988301663,0.9832130613635862,0.9003690036900369,0.8761384335154827,0.8864468864468864,0.9003690036900369,0.9144981412639405,0.9252336448598131,0.9368823296462947,0.9209157578682831,0.9287572683820419,0.9369576340247739,0.9451549676137694,0.9523943534200697,64,22042,True,b8641c7433856aae2cced332aa4246488386800e6f2e7da2f182226113d95967,559fb8d8349ddf24717c23eb6d9784fa8a71bee5f82e41f2c266283adb198947,"{""audit"": ""6b2ecec281fc0003a27a5caf6278a2e16144abb8ae357e90de3c20c908873548"", ""base_config"": ""033933119b75bb8b0f67e26b028d094d533e8cc77abaa87dbac823c17c869145"", ""criticality"": ""ad6a64bca2e780e3fc9e1bf814dd71a51c6fcd929f6f301f2156cec0ea74db0d"", ""data_config"": ""30e417b1e2fdc74d924428e508175587219d1618acf642859b166acbb34e04e9"", ""fraction_manifest"": ""90e0ef7f4a57bbacc59470fa93b9f4019d5861e4d722013557c444cedcb8e9b7""}",54.162
