dataset,outer,fraction_pair,within_R_A,within_R_B,cross_fraction_spearman,cross_fraction_jaccard,interpretation
3W,31001,1-0.25,0.7265359840306853,0.6726077081105767,0.8059324110390147,0.5406360424028268,within- and cross-regime stability should be interpreted separately
3W,31001,1-0.1,0.7265359840306853,0.7362158401172827,0.6003108830330051,0.3885350318471338,within- and cross-regime stability should be interpreted separately
3W,31001,0.25-0.1,0.6726077081105767,0.7362158401172827,0.8463003406657608,0.6704980842911877,within- and cross-regime stability should be interpreted separately
3W,31002,1-0.25,0.7247771468985437,0.716170781052625,0.5521064045431768,0.3625,within- and cross-regime stability should be interpreted separately
3W,31002,1-0.1,0.7247771468985437,0.6543605179696104,0.5625357197494819,0.42950819672131146,within- and cross-regime stability should be interpreted separately
3W,31002,0.25-0.1,0.716170781052625,0.6543605179696104,0.7470859016263002,0.503448275862069,within- and cross-regime stability should be interpreted separately
3W,31003,1-0.25,0.7079694589123056,0.8269270019604579,0.8100438278896706,0.5854545454545454,within- and cross-regime stability should be interpreted separately
3W,31003,1-0.1,0.7079694589123056,0.7770703024660508,0.6754997858426276,0.4342105263157895,within- and cross-regime stability should be interpreted separately
3W,31003,0.25-0.1,0.8269270019604579,0.7770703024660508,0.862176584872035,0.5627240143369175,within- and cross-regime stability should be interpreted separately
TEP,32001,1-0.25,0.9368823296462947,0.8832453680879203,0.9141812188648772,0.7758620689655172,within-regime stable; criticality shifts across regimes
TEP,32002,1-0.25,0.9397404971200986,0.8844589630910127,0.9013163688426059,0.7975567190226877,within-regime stable; criticality shifts across regimes
TEP,32003,1-0.25,0.9334203638126815,0.865042710571009,0.8708071874368727,0.734006734006734,within-regime stable; criticality shifts across regimes
